[2022-04-22T11:43:51.981] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.981] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.982] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.982] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.982] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.983] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.983] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.984] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.984] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.984] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.985] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.985] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.985] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.986] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.986] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.986] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.987] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.987] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.988] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.988] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.988] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.989] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.989] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.989] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.990] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.990] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.990] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.991] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.991] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.991] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.992] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.992] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.993] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.993] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.993] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.994] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.994] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.994] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.995] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.995] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.995] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.995] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.996] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.996] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.996] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.997] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.997] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.997] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.998] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.998] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.998] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.999] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.999] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.999] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.000] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.000] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.000] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.001] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.001] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.002] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.002] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.002] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.003] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.003] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.003] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.004] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.004] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.004] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.005] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.005] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.005] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.006] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.006] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.006] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.007] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.007] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.007] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.008] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.008] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.008] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.009] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.009] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.009] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.009] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.010] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.010] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.010] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.011] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.011] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.011] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.012] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.012] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.012] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.013] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.013] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.014] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.014] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.014] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.015] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.015] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.015] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.016] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.016] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.016] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.016] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.017] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.017] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.017] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.018] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.018] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.018] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.019] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.019] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.019] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.020] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:52.020] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.216] [INFO] csvReader - Program started
[2022-04-22T11:44:55.221] [INFO] csvReader - User chose to list all account balances
[2022-04-22T11:44:55.226] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.228] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.228] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.229] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.229] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.229] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.230] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.230] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.231] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.231] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.231] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.232] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.232] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.233] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.233] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.234] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.234] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.234] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.235] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.235] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.236] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.236] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.236] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.237] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.237] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.237] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.238] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.238] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.239] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.239] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.239] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.240] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.240] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.241] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.241] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.241] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.242] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.242] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.243] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.243] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.243] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.244] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.244] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.245] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.245] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.246] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.246] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.246] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.247] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.247] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.247] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.248] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.248] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.249] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.249] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.249] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.250] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.250] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.251] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.251] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.251] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.252] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.252] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.253] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.253] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.253] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.254] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.254] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.254] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.255] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.255] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.255] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.256] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.256] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.256] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.257] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.257] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.258] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.258] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.258] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.259] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.259] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.260] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.260] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.260] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.261] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.261] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.261] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.262] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.262] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.262] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.263] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.263] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.263] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.264] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.264] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.265] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.265] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.265] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.266] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.266] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.266] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.267] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.267] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.267] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.268] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.268] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.269] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.269] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.269] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.270] [INFO] csvReader - CSV line 1
[2022-04-22T11:44:55.270] [INFO] csvReader - CSV line 1
